time,short distance,hyper volume


cycle : 25, pop_size : 128
0.095812,0.591511,0.487059
0.097102,0.584756,0.482755
0.095980,0.588131,0.486005
0.095912,0.594624,0.484431
0.095263,0.582077,0.488404
0.096322,0.588866,0.489523
0.097546,0.578166,0.489447
0.096816,0.586480,0.493004
0.095312,0.591170,0.496236
0.096310,0.581267,0.484104

cycle : 25, pop_size : 256
0.188366,0.580459,0.500989
0.188427,0.583628,0.496741
0.188349,0.585278,0.491967
0.186649,0.580723,0.497125
0.188351,0.587078,0.496088
0.188113,0.581809,0.489958
0.188587,0.587315,0.496259
0.186701,0.581526,0.492844
0.188802,0.578048,0.498760
0.188427,0.583573,0.495085

cycle : 25, pop_size : 512
0.370252,0.576743,0.500696
0.370668,0.574937,0.502240
0.370314,0.579461,0.498961
0.370008,0.580423,0.502739
0.369610,0.578009,0.498118
0.378313,0.580550,0.499796
0.371390,0.577962,0.504611
0.371522,0.581249,0.489379
0.371739,0.578070,0.499198
0.370971,0.572886,0.500212

cycle : 25, pop_size : 1024
0.735265,0.575516,0.502995
0.736296,0.577290,0.506085
0.735867,0.574109,0.503585
0.736431,0.578900,0.509500
0.742906,0.575436,0.502138
0.735370,0.571291,0.501630
0.735385,0.577460,0.502115
0.735932,0.576414,0.507033
0.736186,0.576050,0.503994
0.735537,0.578603,0.506521

cycle : 25, pop_size : 2048
1.484366,0.572133,0.512119
1.479219,0.567290,0.507047
1.478411,0.569870,0.508718
1.477130,0.570107,0.506362
1.477141,0.572991,0.507212
1.477001,0.569615,0.507046
1.479850,0.574753,0.507700
1.478559,0.569711,0.509722
1.476885,0.574891,0.505315
1.478604,0.570832,0.506117

cycle : 50, pop_size : 128
0.184548,0.575039,0.500413
0.183841,0.577907,0.497155
0.184925,0.580997,0.500975
0.185200,0.579827,0.501180
0.185384,0.578764,0.500654
0.184530,0.571737,0.501830
0.185461,0.575897,0.498164
0.185372,0.580669,0.499689
0.183931,0.581992,0.496828
0.184376,0.581752,0.499099

cycle : 50, pop_size : 256
0.360783,0.577792,0.500718
0.361374,0.573805,0.508685
0.361674,0.572137,0.501868
0.361506,0.569403,0.509436
0.366025,0.567187,0.507567
0.360867,0.567897,0.504601
0.361267,0.569431,0.501621
0.361106,0.569370,0.507504
0.361390,0.570665,0.501030
0.361137,0.574317,0.507483

cycle : 50, pop_size : 512
0.712190,0.567312,0.511425
0.712382,0.565584,0.510764
0.712197,0.564990,0.514507
0.712452,0.568995,0.514038
0.712836,0.564076,0.504796
0.713576,0.568107,0.502588
0.711464,0.567281,0.513160
0.712176,0.570449,0.509762
0.711931,0.568167,0.510694
0.711690,0.570553,0.511832

cycle : 50, pop_size : 1024
1.413722,0.563080,0.517007
1.414246,0.563413,0.515380
1.413810,0.562822,0.513369
1.414654,0.558522,0.512313
1.414766,0.567711,0.508480
1.414399,0.559959,0.515845
1.414663,0.563815,0.516050
1.414617,0.561533,0.510484
1.414466,0.565407,0.516239
1.420985,0.563864,0.512921

cycle : 50, pop_size : 2048
2.830753,0.564253,0.515557
2.831078,0.558319,0.526568
2.832629,0.561464,0.514995
2.832951,0.562102,0.515043
2.831575,0.560531,0.518531
