time,short distance,hyper volume


cycle : 25, pop_size : 128
0.124335,0.592558,0.476796
0.125693,0.594945,0.470951
0.125495,0.598154,0.474301
0.126253,0.594917,0.472331
0.124377,0.597245,0.473878
0.125097,0.597351,0.469807
0.124487,0.590994,0.470379
0.126074,0.590206,0.467989
0.125161,0.594814,0.471806
0.124928,0.597459,0.468664

cycle : 25, pop_size : 256
0.245480,0.588304,0.477848
0.245808,0.591954,0.473621
0.245851,0.589936,0.475763
0.246449,0.590662,0.474153
0.246036,0.590578,0.473204
0.245734,0.591042,0.477831
0.245850,0.582368,0.473964
0.246139,0.583251,0.474500
0.246375,0.592249,0.473356
0.245835,0.591148,0.473421

cycle : 25, pop_size : 512
0.484984,0.587609,0.480143
0.486452,0.595766,0.473522
0.492634,0.588872,0.481008
0.486093,0.586723,0.476839
0.483873,0.588877,0.479586
0.486410,0.589453,0.481316
0.486945,0.584784,0.480953
0.486193,0.583608,0.478041
0.487044,0.590066,0.479280
0.486160,0.584409,0.480115

cycle : 25, pop_size : 1024
0.964997,0.585187,0.484083
0.972689,0.579537,0.480496
0.965250,0.586713,0.481852
0.963941,0.588258,0.478949
0.965889,0.586304,0.486853
0.965423,0.582314,0.480750
0.964598,0.589107,0.481265
0.972556,0.583171,0.481885
0.965551,0.584352,0.478117
0.964430,0.586342,0.480205

cycle : 25, pop_size : 2048
1.940193,0.584637,0.483966
1.940437,0.583892,0.484833
1.941923,0.583160,0.484220
1.939863,0.583144,0.486024
1.941553,0.585378,0.483638
1.941097,0.583433,0.483542
1.939866,0.582318,0.485728
1.941604,0.584293,0.485418
1.940984,0.585564,0.487437
1.940655,0.581820,0.484636

cycle : 50, pop_size : 128
0.241611,0.589285,0.472292
0.242059,0.586045,0.471936
0.241569,0.579716,0.479047
0.240051,0.589498,0.476469
0.246742,0.586431,0.476446
0.241914,0.592757,0.480400
0.241909,0.584676,0.475793
0.239661,0.577997,0.478912
0.243459,0.587116,0.477194
0.240404,0.586695,0.477513

cycle : 50, pop_size : 256
0.471658,0.586498,0.482267
0.471495,0.580584,0.485033
0.471686,0.584676,0.480650
0.471694,0.591533,0.483019
0.471090,0.583035,0.482087
0.471520,0.576562,0.483007
0.471767,0.584727,0.480201
0.479121,0.584037,0.473781
0.472031,0.581005,0.480507
0.472344,0.584525,0.481069

cycle : 50, pop_size : 512
0.934233,0.572538,0.482997
0.934408,0.583713,0.482655
0.933084,0.577812,0.490879
0.932917,0.581421,0.488289
0.931757,0.581337,0.486011
0.931418,0.582519,0.488797
0.933594,0.578787,0.489843
0.933034,0.578784,0.486121
0.932718,0.581597,0.483418
0.934573,0.575886,0.484401

cycle : 50, pop_size : 1024
1.857801,0.578293,0.487440
1.856426,0.577228,0.489334
1.857916,0.577989,0.487719
1.857742,0.581552,0.488505
1.856514,0.573816,0.490547
1.857198,0.578249,0.489869
1.857148,0.576736,0.490800
1.856803,0.571082,0.488686
1.858132,0.577323,0.488684
1.864325,0.579629,0.487597

cycle : 50, pop_size : 2048
3.728632,0.578500,0.490431
3.720627,0.578712,0.493749
3.725966,0.577567,0.489149
3.722198,0.579511,0.491304
3.725631,0.577528,0.494286
