time,short distance,hyper volume


cycle : 25, pop_size : 128
0.125313,0.531697,0.565495
0.121828,0.521968,0.566234
0.114279,0.531059,0.561135
0.112696,0.534552,0.575517
0.114067,0.525166,0.565493
0.113069,0.536765,0.571675
0.112441,0.528155,0.570840
0.113913,0.528175,0.564245
0.113421,0.527904,0.569112
0.113939,0.527973,0.558665

cycle : 25, pop_size : 256
0.223111,0.530911,0.572490
0.222064,0.523650,0.571632
0.223541,0.527886,0.572618
0.221352,0.524441,0.581323
0.222506,0.527007,0.582683
0.223148,0.524301,0.569293
0.222460,0.520953,0.573283
0.223201,0.517499,0.570163
0.224153,0.530451,0.570587
0.222524,0.527509,0.571467

cycle : 25, pop_size : 512
0.439899,0.512365,0.577120
0.438565,0.524053,0.576434
0.439591,0.520701,0.571911
0.438400,0.514477,0.577448
0.438708,0.521369,0.578220
0.438959,0.512721,0.572321
0.438923,0.517569,0.579722
0.439958,0.521940,0.582300
0.439011,0.526757,0.570201
0.439081,0.522315,0.586030

cycle : 25, pop_size : 1024
0.872658,0.512592,0.592425
0.879820,0.514093,0.582348
0.872635,0.519842,0.578810
0.872364,0.517371,0.585891
0.873347,0.524898,0.582086
0.872324,0.517766,0.578899
0.872960,0.519290,0.584609
0.873496,0.520252,0.579440
0.873290,0.519259,0.588132
0.872622,0.518413,0.583982

cycle : 25, pop_size : 2048
1.746378,0.513949,0.588373
1.747795,0.516712,0.585807
1.746717,0.511536,0.582555
1.746880,0.514695,0.589033
1.747500,0.510135,0.593011
1.748133,0.515364,0.584690
1.746254,0.513418,0.586193
1.747810,0.516936,0.584684
1.747697,0.511186,0.591168
1.747032,0.513217,0.590735

cycle : 50, pop_size : 128
0.219521,0.521696,0.577123
0.218865,0.509210,0.576872
0.218817,0.520117,0.581226
0.218256,0.519015,0.572393
0.219959,0.519840,0.584118
0.218858,0.514984,0.575162
0.219094,0.527210,0.579927
0.219725,0.519483,0.575890
0.218867,0.524302,0.583163
0.218531,0.521701,0.582552

cycle : 50, pop_size : 256
0.430042,0.512179,0.584335
0.428164,0.507361,0.582712
0.430096,0.504534,0.586713
0.427844,0.510288,0.586122
0.428855,0.509291,0.590434
0.427317,0.511852,0.585179
0.428658,0.504873,0.586341
0.429344,0.516960,0.583925
0.427619,0.516697,0.586036
0.427837,0.508926,0.582800

cycle : 50, pop_size : 512
0.849002,0.509408,0.588882
0.847145,0.505244,0.593030
0.848029,0.499638,0.589731
0.847641,0.500251,0.598544
0.846324,0.506006,0.595030
0.847028,0.505799,0.589639
0.847091,0.510533,0.589772
0.847192,0.508147,0.598294
0.847735,0.505546,0.590999
0.847179,0.498158,0.589606

cycle : 50, pop_size : 1024
1.684656,0.501968,0.604462
1.684640,0.497835,0.601549
1.684006,0.505430,0.598129
1.683880,0.504437,0.595800
1.684316,0.505847,0.591576
1.684242,0.499831,0.599764
1.683513,0.501290,0.593985
1.684333,0.508342,0.595388
1.683418,0.504493,0.602802
1.684666,0.503637,0.606698

cycle : 50, pop_size : 2048
3.362001,0.502215,0.601124
3.361517,0.496334,0.605162
3.361431,0.502054,0.604286
3.361877,0.497945,0.601050
3.364060,0.494951,0.603809
