time,short distance,hyper volume


cycle : 25, pop_size : 128
0.137829,0.543268,0.520111
0.139440,0.537421,0.528652
0.139190,0.537596,0.520325
0.138570,0.536644,0.526301
0.139571,0.537922,0.530226
0.139035,0.541114,0.523007
0.138831,0.540430,0.528819
0.140132,0.543164,0.526037
0.138464,0.534314,0.529184
0.138550,0.530077,0.522078

cycle : 25, pop_size : 256
0.273699,0.528743,0.539748
0.274662,0.529132,0.535744
0.275202,0.532881,0.528232
0.273192,0.523553,0.528771
0.274054,0.526682,0.532550
0.274347,0.531138,0.531576
0.272730,0.532105,0.532903
0.273892,0.527497,0.536942
0.273489,0.525876,0.543083
0.274527,0.533780,0.526676

cycle : 25, pop_size : 512
0.540115,0.526432,0.537875
0.548506,0.533943,0.534914
0.540608,0.531484,0.534543
0.541874,0.530972,0.531346
0.540142,0.529450,0.535883
0.541491,0.526980,0.541418
0.541196,0.525490,0.535391
0.540372,0.531574,0.536457
0.540484,0.524603,0.538837
0.541963,0.520836,0.530847

cycle : 25, pop_size : 1024
1.077236,0.528959,0.534388
1.076076,0.524898,0.539405
1.075520,0.525167,0.542793
1.075573,0.527555,0.539882
1.075988,0.526858,0.543129
1.083411,0.524686,0.541967
1.077240,0.522979,0.538981
1.077540,0.522705,0.538211
1.075818,0.518589,0.537499
1.076387,0.525308,0.536469

cycle : 25, pop_size : 2048
2.157568,0.524962,0.547782
2.160424,0.525245,0.544457
2.159002,0.521246,0.544144
2.158731,0.523198,0.543202
2.160155,0.518310,0.546467
2.161398,0.522717,0.543115
2.162098,0.523806,0.544225
2.158858,0.520124,0.543792
2.159350,0.518960,0.544725
2.159395,0.518728,0.542305

cycle : 50, pop_size : 128
0.268844,0.529914,0.531793
0.267215,0.527829,0.536376
0.266105,0.530105,0.531379
0.267575,0.533750,0.533223
0.269465,0.530114,0.531998
0.267244,0.530989,0.542535
0.269194,0.523848,0.529350
0.267490,0.530379,0.538660
0.268121,0.533362,0.538248
0.266889,0.535150,0.532591

cycle : 50, pop_size : 256
0.526079,0.522616,0.545198
0.527411,0.522664,0.535961
0.527948,0.525098,0.536583
0.527541,0.522526,0.535445
0.524117,0.524442,0.542461
0.524919,0.523993,0.536911
0.527888,0.525249,0.538506
0.525538,0.523895,0.542900
0.527487,0.522368,0.538004
0.526431,0.519266,0.544058

cycle : 50, pop_size : 512
1.042679,0.516129,0.546885
1.041294,0.523521,0.540367
1.049610,0.521395,0.541411
1.043096,0.514776,0.547591
1.044564,0.506800,0.545044
1.042413,0.517530,0.546336
1.043021,0.519681,0.541033
1.042683,0.516910,0.548864
1.042771,0.520128,0.545845
1.041940,0.518893,0.543646

cycle : 50, pop_size : 1024
2.074685,0.511263,0.548605
2.076753,0.520478,0.547231
2.075102,0.516431,0.550966
2.074523,0.514359,0.552054
2.074893,0.520193,0.548226
2.074096,0.516006,0.551688
2.074299,0.515687,0.546777
2.075480,0.516603,0.554651
2.076070,0.518754,0.550848
2.075101,0.515437,0.548026

cycle : 50, pop_size : 2048
4.153546,0.512658,0.549875
4.155731,0.509310,0.549643
4.164735,0.514602,0.552848
4.161540,0.518542,0.552546
4.154843,0.514884,0.553055
