time,short distance,hyper volume


cycle : 25, pop_size : 128
0.149875,0.605467,0.472518
0.151562,0.606381,0.474262
0.154193,0.610897,0.468179
0.152894,0.608442,0.470664
0.154724,0.610521,0.465534
0.151905,0.610664,0.470846
0.152440,0.603685,0.474532
0.152294,0.610224,0.467696
0.154111,0.602298,0.475341
0.153218,0.608994,0.468095

cycle : 25, pop_size : 256
0.297562,0.600870,0.478922
0.298112,0.598361,0.478673
0.298005,0.602494,0.475305
0.297689,0.605381,0.480115
0.297733,0.598356,0.477642
0.297711,0.600110,0.475406
0.297665,0.601201,0.475648
0.297698,0.603253,0.477057
0.297600,0.600177,0.474363
0.297564,0.601528,0.471716

cycle : 25, pop_size : 512
0.599127,0.595445,0.481138
0.590182,0.600294,0.481939
0.589715,0.598115,0.476413
0.591721,0.598572,0.479765
0.590011,0.595549,0.478664
0.591175,0.590262,0.482087
0.589333,0.603871,0.478299
0.591067,0.602057,0.480287
0.590940,0.603892,0.481092
0.590768,0.595375,0.477605

cycle : 25, pop_size : 1024
1.172955,0.590982,0.483248
1.173656,0.597309,0.480923
1.173024,0.596055,0.479711
1.173987,0.599014,0.481961
1.172413,0.599385,0.483950
1.173270,0.596100,0.482287
1.173948,0.594628,0.480793
1.174672,0.589043,0.480141
1.173324,0.595006,0.481440
1.181286,0.593381,0.486690

cycle : 25, pop_size : 2048
2.359601,0.589477,0.483154
2.362534,0.592970,0.482337
2.362711,0.591197,0.485479
2.360275,0.595970,0.485661
2.361157,0.594368,0.484939
2.358527,0.595147,0.484415
2.360113,0.591733,0.485934
2.358357,0.592731,0.482591
2.360735,0.594615,0.487845
2.359586,0.596918,0.487881

cycle : 50, pop_size : 128
0.291732,0.602648,0.480263
0.292087,0.602130,0.482227
0.293113,0.602663,0.479903
0.294004,0.607171,0.475169
0.293956,0.600322,0.476708
0.294088,0.599124,0.481788
0.291472,0.598220,0.476487
0.290386,0.598379,0.477271
0.298772,0.598145,0.480521
0.293993,0.602407,0.475264

cycle : 50, pop_size : 256
0.571569,0.585952,0.481714
0.572264,0.591853,0.482515
0.572127,0.591067,0.481658
0.571733,0.592864,0.484643
0.571201,0.585952,0.489090
0.571866,0.591551,0.484672
0.571880,0.596904,0.481141
0.572528,0.598642,0.478165
0.578608,0.594680,0.484342
0.571569,0.599546,0.486098

cycle : 50, pop_size : 512
1.134147,0.593575,0.484884
1.133483,0.592905,0.484542
1.135072,0.589393,0.483460
1.141810,0.594477,0.487922
1.133738,0.590876,0.485054
1.135242,0.589970,0.484850
1.136234,0.592921,0.482356
1.135247,0.587455,0.488793
1.137095,0.591168,0.487350
1.133726,0.592597,0.489580

cycle : 50, pop_size : 1024
2.258862,0.589180,0.484771
2.261317,0.591439,0.487475
2.258854,0.593834,0.489535
2.260993,0.591554,0.490372
2.259278,0.589712,0.492037
2.259330,0.592779,0.491473
2.257652,0.589862,0.486695
2.259373,0.592039,0.489106
2.260967,0.583254,0.493142
2.261941,0.581142,0.491770

cycle : 50, pop_size : 2048
4.529283,0.585368,0.491707
4.531848,0.591021,0.492094
4.537474,0.583321,0.490392
4.533282,0.588650,0.491568
4.536462,0.585371,0.488663
