time,short distance,hyper volume

1.905694,0.585061,0.508687
1.906022,0.580901,0.507992
1.905387,0.585816,0.506986
1.905483,0.585475,0.503203
1.905858,0.590184,0.508029
1.905291,0.594601,0.508613
1.905998,0.584857,0.506323
1.905937,0.584576,0.513434
1.906205,0.587041,0.512872
1.905698,0.583590,0.508847
1.905220,0.586950,0.508361
1.905837,0.579426,0.509245
1.905401,0.579921,0.511409
1.906063,0.588475,0.510508
1.905393,0.585936,0.509694
1.905607,0.587500,0.507953
1.905347,0.586953,0.511931
1.905262,0.586085,0.508676
1.906018,0.579196,0.509230
1.905743,0.576979,0.507549
1.906246,0.584493,0.508493
1.905953,0.581801,0.505308
1.905563,0.581343,0.509288
1.906165,0.584791,0.509961
1.906285,0.584900,0.508249
1.905468,0.587934,0.507402
1.905415,0.579264,0.510968
1.906473,0.580518,0.509146
1.905678,0.575435,0.511156
1.906047,0.586352,0.509020
1.906414,0.579588,0.508623
1.905435,0.580164,0.507376
1.905762,0.579784,0.515620
1.905423,0.585478,0.509430
1.905681,0.586233,0.508168
1.905503,0.585436,0.508101
1.906141,0.586262,0.507986
1.906127,0.585481,0.508972
1.905805,0.581739,0.507387
1.906047,0.584688,0.509361
1.905758,0.581436,0.513207
1.905966,0.577960,0.513577
1.905645,0.587885,0.508466
1.905689,0.581022,0.506840
1.905916,0.576310,0.509792
1.905972,0.589079,0.503886
1.906335,0.576813,0.513670
1.905870,0.583394,0.506693
1.905932,0.577008,0.511425
1.905554,0.585174,0.507794
1.906037,0.579968,0.511730
1.906204,0.580110,0.511022
1.905671,0.579537,0.512271
1.905694,0.578019,0.508191
1.905656,0.585167,0.506379
1.905836,0.584147,0.506557
1.905501,0.585496,0.509327
1.905817,0.582712,0.506956
1.905882,0.586295,0.510553
1.906002,0.584286,0.510484
1.905909,0.587253,0.512534
1.905727,0.589097,0.513230
1.905663,0.586762,0.509903
1.905982,0.587778,0.503600
1.905409,0.582655,0.512060
1.906173,0.584401,0.511924
1.905195,0.577317,0.507827
1.906046,0.590310,0.508596
1.905851,0.588609,0.506479
1.906080,0.588713,0.505317
1.905785,0.586873,0.509370
1.905324,0.586937,0.508573
1.906241,0.580347,0.510241
1.906409,0.588636,0.509083
1.906466,0.587766,0.503515
1.905542,0.582675,0.504355
1.905899,0.585530,0.512682
1.906162,0.585733,0.505977
1.906674,0.579473,0.508138
1.905784,0.590294,0.509038
1.905916,0.591053,0.505145
1.906532,0.576765,0.508310
1.905508,0.582798,0.507523
1.906127,0.592817,0.504282
1.906016,0.583580,0.507144
1.905350,0.584684,0.504423
1.905834,0.584043,0.511973
1.905647,0.582856,0.510927
1.906204,0.585445,0.508904
1.905873,0.580778,0.513224
1.905830,0.582549,0.504181
1.905612,0.584088,0.506847
1.906007,0.586709,0.504902
1.905850,0.584920,0.511594
1.905810,0.588089,0.506995
1.906421,0.586818,0.508183
1.905375,0.584071,0.512518
1.905514,0.582418,0.510845
1.905733,0.590411,0.507407
1.906127,0.582374,0.509753
