time,short distance,hyper volume

1.977303,0.597765,0.488679
1.976744,0.592328,0.487666
1.977355,0.588177,0.489744
1.977227,0.591762,0.487503
1.977566,0.598620,0.493274
1.977250,0.594889,0.486550
1.977185,0.597849,0.487742
1.977781,0.596512,0.490377
1.977662,0.586580,0.493017
1.977247,0.595170,0.489005
1.977031,0.590723,0.489670
1.977168,0.587367,0.489009
1.977053,0.593786,0.488036
1.977102,0.591163,0.488513
1.976818,0.594116,0.485929
1.977627,0.589322,0.490615
1.976801,0.598400,0.490278
1.976968,0.594723,0.486477
1.976954,0.594444,0.492717
1.977381,0.595186,0.491873
1.977516,0.599362,0.489733
1.977349,0.591743,0.485690
1.977066,0.587736,0.483008
1.977311,0.590013,0.489256
1.977133,0.601628,0.486770
1.976756,0.588505,0.489743
1.977198,0.589138,0.490108
1.977378,0.588397,0.487496
1.977074,0.597170,0.485383
1.977264,0.594139,0.489322
1.976724,0.594268,0.487231
1.977542,0.595469,0.488864
1.977062,0.588633,0.489633
1.977204,0.595031,0.488170
1.977410,0.586799,0.491472
1.976929,0.600307,0.491414
1.977192,0.590555,0.484258
1.977165,0.591865,0.489902
1.977371,0.595563,0.488228
1.977311,0.592368,0.488989
1.977135,0.594285,0.487469
1.977728,0.597890,0.485082
1.977436,0.591016,0.489283
1.977718,0.589211,0.486931
1.976939,0.595746,0.489408
1.977301,0.593099,0.486770
1.976810,0.591567,0.487209
1.977168,0.603551,0.487874
1.977459,0.586822,0.495283
1.977705,0.600020,0.487564
1.977219,0.596301,0.484139
1.977377,0.595061,0.486556
1.977275,0.594938,0.487777
1.977094,0.597255,0.488729
1.977131,0.594438,0.490335
1.977439,0.597290,0.483567
1.977551,0.600882,0.487369
1.977484,0.597513,0.483850
1.976648,0.592727,0.486646
1.976832,0.595815,0.488206
1.977220,0.597914,0.488527
1.976808,0.590695,0.487381
1.977014,0.598924,0.486900
1.977463,0.597911,0.489045
1.977009,0.592120,0.485589
1.977216,0.599366,0.490400
1.977269,0.599111,0.487767
1.976780,0.594673,0.487493
1.977227,0.594716,0.485103
1.977151,0.601642,0.485589
1.977305,0.595073,0.487018
1.977816,0.591098,0.487661
1.976845,0.600683,0.488021
1.976757,0.592883,0.484219
1.977148,0.595172,0.485402
1.977393,0.599115,0.486109
1.977455,0.596232,0.489537
1.977291,0.593283,0.488007
1.976930,0.594142,0.490235
1.977196,0.586601,0.490410
1.977203,0.592905,0.489591
1.977061,0.593289,0.485972
1.976544,0.592677,0.486419
1.976851,0.595179,0.488841
1.977283,0.592573,0.488893
1.977334,0.591301,0.485893
1.977718,0.588547,0.489409
1.977066,0.596546,0.490599
1.977278,0.594600,0.487872
1.976937,0.594399,0.489174
1.977431,0.601503,0.488701
1.977342,0.591414,0.484370
1.977045,0.584869,0.493340
1.977282,0.600547,0.482946
1.976919,0.597505,0.487518
1.977274,0.596662,0.488248
1.977145,0.592354,0.488983
1.977186,0.598665,0.488418
1.977164,0.594001,0.489070
1.977526,0.596709,0.487050
