time,short distance,hyper volume

1.728187,0.515152,0.600862
1.697799,0.512166,0.593971
1.697824,0.509226,0.595114
1.700272,0.504315,0.602577
1.710846,0.515228,0.601465
1.711166,0.514686,0.593499
1.711029,0.512932,0.599937
1.710920,0.518084,0.603288
1.710922,0.501704,0.599782
1.711119,0.508585,0.597509
1.711259,0.513306,0.609078
1.711018,0.510967,0.592965
1.710975,0.506066,0.599243
1.711173,0.505619,0.595966
1.710858,0.512715,0.607410
1.706364,0.509403,0.594939
1.696495,0.504599,0.598331
1.696491,0.506738,0.600914
1.696554,0.500389,0.604600
1.696470,0.510084,0.596862
1.696572,0.511500,0.598897
1.696746,0.509067,0.595224
1.696692,0.510035,0.600674
1.696599,0.513207,0.593594
1.696273,0.507209,0.594878
1.696702,0.507046,0.594973
1.696585,0.508882,0.595406
1.696622,0.506374,0.593128
1.696690,0.513091,0.600017
1.704855,0.517073,0.591752
1.705253,0.511959,0.593298
1.705019,0.512754,0.593651
1.705144,0.510620,0.598236
1.705165,0.516459,0.597131
1.705315,0.507403,0.591632
1.705716,0.507458,0.594500
1.705356,0.501404,0.599943
1.705239,0.512632,0.604595
1.705203,0.509589,0.604869
1.705877,0.505539,0.599934
1.705604,0.514848,0.600956
1.705570,0.508173,0.596137
1.705570,0.504792,0.597715
1.705573,0.513221,0.588834
1.705296,0.511839,0.595817
1.705418,0.499736,0.596546
1.705527,0.509394,0.601593
1.705546,0.510432,0.602649
1.705614,0.511770,0.598138
1.705330,0.511776,0.601273
1.711208,0.510576,0.609116
1.711022,0.513421,0.594253
1.710867,0.509951,0.600070
1.711197,0.509905,0.599502
1.711239,0.510705,0.600807
1.711179,0.511592,0.601934
1.711387,0.512164,0.603987
1.711199,0.506093,0.598720
1.711094,0.515901,0.594318
1.711337,0.510773,0.594101
1.711144,0.502174,0.606342
1.711331,0.510942,0.599060
1.711174,0.507434,0.603996
1.710950,0.513144,0.601324
1.711184,0.509859,0.593329
1.711022,0.505369,0.599764
1.711066,0.503808,0.609491
1.710979,0.503648,0.608645
1.710730,0.502406,0.598646
1.711294,0.509683,0.594010
1.710945,0.513122,0.599584
1.710908,0.508033,0.594375
1.710969,0.502687,0.599556
1.711239,0.510384,0.603197
1.710987,0.510372,0.596926
1.710987,0.509964,0.602492
1.710895,0.504980,0.594669
1.711294,0.520330,0.600505
1.711289,0.494501,0.594882
1.711143,0.511465,0.599637
1.711173,0.516820,0.593505
1.711106,0.505144,0.600568
1.711083,0.510830,0.601254
1.711075,0.510761,0.602906
1.711050,0.510435,0.590966
1.711084,0.515733,0.602068
1.711021,0.512972,0.604392
1.711228,0.508613,0.593287
1.711257,0.515227,0.606162
1.717959,0.510731,0.597564
1.724263,0.510695,0.604926
1.724354,0.502032,0.598787
1.724153,0.506933,0.606202
1.724123,0.500349,0.605109
1.724265,0.507889,0.599776
1.724321,0.504633,0.593202
1.724288,0.513358,0.603063
1.724117,0.515126,0.598522
1.724331,0.510431,0.604199
1.724178,0.514766,0.594674
