time,short distance,hyper volume

2.046628,0.522824,0.548651
2.046529,0.523353,0.545025
2.046776,0.519011,0.545636
2.046859,0.514495,0.545755
2.047144,0.527361,0.547587
2.046786,0.522097,0.550854
2.047293,0.519975,0.547250
2.046921,0.522022,0.548974
2.046794,0.519666,0.545241
2.047022,0.520403,0.547655
2.047105,0.523405,0.544156
2.047215,0.522456,0.553866
2.046845,0.521320,0.546521
2.047237,0.522643,0.550122
2.047010,0.524097,0.547698
2.046803,0.519602,0.551504
2.046607,0.523846,0.552105
2.047103,0.518253,0.550894
2.046817,0.523478,0.550214
2.046963,0.525241,0.552333
2.047048,0.526528,0.547882
2.046916,0.522860,0.551254
2.047117,0.520844,0.548392
2.046896,0.516896,0.549315
2.046862,0.527153,0.544863
2.046814,0.521045,0.550099
2.046794,0.520501,0.549333
2.046939,0.526349,0.545217
2.047143,0.528825,0.547131
2.047066,0.523551,0.547005
2.046578,0.525544,0.547633
2.046460,0.524959,0.543478
2.046716,0.526965,0.544643
2.047008,0.524409,0.544513
2.046935,0.522919,0.549004
2.046754,0.517875,0.547141
2.046801,0.525744,0.554031
2.046905,0.520439,0.546247
2.046907,0.517078,0.552905
2.046723,0.510944,0.546075
2.046875,0.521850,0.549069
2.046869,0.521860,0.547066
2.046904,0.518650,0.552152
2.046913,0.519173,0.545780
2.046481,0.524734,0.544350
2.046890,0.527318,0.548455
2.046993,0.521751,0.547842
2.046948,0.522507,0.552924
2.046643,0.521561,0.547427
2.046975,0.520145,0.544737
2.046768,0.525050,0.545626
2.046737,0.525017,0.550504
2.046934,0.522059,0.545977
2.046739,0.520996,0.547436
2.046542,0.520621,0.547586
2.046802,0.524206,0.551582
2.046895,0.526307,0.551320
2.047031,0.532983,0.545194
2.046937,0.522934,0.547381
2.046661,0.514794,0.549612
2.046652,0.521813,0.544652
2.047051,0.524279,0.551956
2.046578,0.519395,0.551966
2.047264,0.526783,0.552188
2.046740,0.530150,0.545961
2.046570,0.515968,0.549384
2.046505,0.521194,0.545246
2.047040,0.526817,0.543344
2.047177,0.524798,0.551305
2.046989,0.520703,0.549827
2.046783,0.529403,0.550348
2.046519,0.520169,0.547357
2.046879,0.523068,0.547673
2.046811,0.518915,0.548629
2.046909,0.524677,0.549103
2.046926,0.510640,0.555301
2.046751,0.528241,0.546154
2.047144,0.518610,0.546307
2.046775,0.517065,0.550642
2.046880,0.526211,0.548125
2.046932,0.521370,0.549168
2.046818,0.526816,0.548196
2.046866,0.523508,0.545600
2.046834,0.517410,0.548302
2.047365,0.514335,0.549921
2.047013,0.525513,0.552118
2.046955,0.520565,0.548047
2.046787,0.522312,0.550817
2.046861,0.530052,0.544151
2.047048,0.526857,0.549609
2.046754,0.522166,0.547125
2.047115,0.524211,0.549507
2.046675,0.523505,0.554029
2.046692,0.514986,0.544187
2.046994,0.526488,0.550296
2.046858,0.530229,0.551111
2.047163,0.527695,0.544499
2.046632,0.527246,0.545968
2.047028,0.519690,0.548359
2.046877,0.525203,0.545431
