time,short distance,hyper volume

1.366789,0.566786,0.511866
1.366803,0.565755,0.508701
1.366725,0.561258,0.510660
1.366736,0.574157,0.513271
1.366757,0.571334,0.509119
1.367008,0.564296,0.513799
1.366627,0.560246,0.515988
1.366667,0.571584,0.508850
1.366857,0.564991,0.511493
1.366568,0.571175,0.520272
1.366885,0.569942,0.512036
1.366523,0.570701,0.513092
1.366919,0.575462,0.510805
1.366845,0.574477,0.506866
1.366841,0.570678,0.510650
1.366731,0.576438,0.512049
1.366712,0.569549,0.514221
1.366878,0.575191,0.513351
1.366878,0.572978,0.514233
1.366858,0.572751,0.513781
1.366923,0.573150,0.507621
1.366803,0.564320,0.512262
1.367157,0.571317,0.517212
1.366811,0.566498,0.516638
1.366637,0.564510,0.515477
1.366906,0.563465,0.515403
1.366748,0.575019,0.513830
1.366758,0.568004,0.506819
1.366794,0.570111,0.508223
1.366936,0.573227,0.509301
1.366893,0.566651,0.515681
1.366908,0.565240,0.512001
1.366912,0.562532,0.511619
1.366714,0.566661,0.516371
1.366824,0.561968,0.514873
1.366946,0.568922,0.516997
1.366742,0.569806,0.516633
1.366843,0.574544,0.513101
1.366638,0.570073,0.511942
1.366962,0.564238,0.509251
1.366784,0.573726,0.513424
1.366858,0.566750,0.522198
1.366586,0.573909,0.510348
1.366922,0.569851,0.511493
1.366810,0.570913,0.511948
1.366943,0.564117,0.514264
1.366988,0.571539,0.511869
1.366783,0.566108,0.512911
1.366663,0.567012,0.514694
1.366610,0.560199,0.517025
1.366928,0.567358,0.519692
1.366857,0.574143,0.507346
1.367013,0.576700,0.510286
1.366668,0.570506,0.511157
1.366988,0.567637,0.509841
1.367131,0.572476,0.506164
1.366438,0.571285,0.509192
1.366684,0.560105,0.512174
1.366671,0.566883,0.515701
1.366855,0.570415,0.514657
1.366780,0.570443,0.512898
1.366951,0.565944,0.511921
1.366702,0.570294,0.511957
1.366840,0.573053,0.507746
1.366723,0.570990,0.508763
1.366618,0.565283,0.508255
1.366727,0.576547,0.513476
1.367028,0.573154,0.518649
1.366800,0.568961,0.509857
1.366635,0.567077,0.512366
1.367105,0.569275,0.511597
1.367233,0.573385,0.512539
1.366851,0.564506,0.517888
1.366721,0.567104,0.508054
1.366783,0.570142,0.510105
1.366699,0.575406,0.516022
1.367049,0.577656,0.511797
1.366840,0.573071,0.508094
1.366719,0.570452,0.510922
1.366851,0.573473,0.512666
1.366796,0.569642,0.513179
1.366944,0.568963,0.510156
1.366914,0.564466,0.516557
1.366744,0.570172,0.509718
1.366777,0.567841,0.512076
1.366908,0.573511,0.507932
1.366637,0.567832,0.513432
1.366766,0.576778,0.515158
1.366694,0.564025,0.512359
1.366789,0.574179,0.515798
1.367043,0.567965,0.511245
1.366845,0.570153,0.515050
1.366613,0.572268,0.512660
1.366584,0.565397,0.516480
1.366825,0.569289,0.510677
1.366811,0.567829,0.516375
1.367162,0.573848,0.512327
1.366955,0.572218,0.508733
1.366974,0.573962,0.506275
1.366680,0.571696,0.519445
